I, [2020-10-19T23:23:30.737384 #8496]  INFO -- Kitchen: -----> Starting Kitchen (v1.24.0)
E, [2020-10-19T23:23:30.742885 #8496] ERROR -- Kitchen: ------Exception-------
E, [2020-10-19T23:23:30.743385 #8496] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2020-10-19T23:23:30.743385 #8496] ERROR -- Kitchen: Message: Kitchen YAML file C:/Users/Sagar/projects/chef/.kitchen.yml does not exist.
E, [2020-10-19T23:23:30.743885 #8496] ERROR -- Kitchen: ----------------------
E, [2020-10-19T23:23:30.743885 #8496] ERROR -- Kitchen: ------Backtrace-------
E, [2020-10-19T23:23:30.743885 #8496] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/loader/yaml.rb:65:in `read'
E, [2020-10-19T23:23:30.744385 #8496] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/config.rb:152:in `data'
E, [2020-10-19T23:23:30.744385 #8496] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/config.rb:131:in `suites'
E, [2020-10-19T23:23:30.744385 #8496] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/config.rb:182:in `filter_instances'
E, [2020-10-19T23:23:30.744885 #8496] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/config.rb:141:in `build_instances'
E, [2020-10-19T23:23:30.744885 #8496] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/config.rb:117:in `instances'
E, [2020-10-19T23:23:30.744885 #8496] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/command.rb:112:in `filtered_instances'
E, [2020-10-19T23:23:30.745385 #8496] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/command.rb:142:in `parse_subcommand'
E, [2020-10-19T23:23:30.745385 #8496] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/command/action.rb:35:in `block in call'
E, [2020-10-19T23:23:30.745385 #8496] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/2.5.0/benchmark.rb:293:in `measure'
E, [2020-10-19T23:23:30.745885 #8496] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/command/action.rb:34:in `call'
E, [2020-10-19T23:23:30.745885 #8496] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/cli.rb:52:in `perform'
E, [2020-10-19T23:23:30.745885 #8496] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/cli.rb:193:in `block (2 levels) in <class:CLI>'
E, [2020-10-19T23:23:30.745885 #8496] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/thor-0.20.3/lib/thor/command.rb:27:in `run'
E, [2020-10-19T23:23:30.746385 #8496] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/thor-0.20.3/lib/thor/invocation.rb:126:in `invoke_command'
E, [2020-10-19T23:23:30.746385 #8496] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/thor-0.20.3/lib/thor.rb:387:in `dispatch'
E, [2020-10-19T23:23:30.746385 #8496] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/thor-0.20.3/lib/thor/base.rb:466:in `start'
E, [2020-10-19T23:23:30.746885 #8496] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/bin/kitchen:13:in `block in <top (required)>'
E, [2020-10-19T23:23:30.746885 #8496] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/lib/kitchen/errors.rb:171:in `with_friendly_errors'
E, [2020-10-19T23:23:30.746885 #8496] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.24.0/bin/kitchen:13:in `<top (required)>'
E, [2020-10-19T23:23:30.747385 #8496] ERROR -- Kitchen: C:/opscode/chefdk/bin/kitchen:324:in `load'
E, [2020-10-19T23:23:30.747385 #8496] ERROR -- Kitchen: C:/opscode/chefdk/bin/kitchen:324:in `<main>'
E, [2020-10-19T23:23:30.747885 #8496] ERROR -- Kitchen: ----End Backtrace-----
